fecha,total_articulos,es,en,cluster_0,cluster_1,cluster_2
2026-07-10,21,11,10,9,8,4
2026-07-11,21,6,15,9,9,3
2026-07-12,17,7,10,6,6,5
2026-07-13,8,3,5,3,2,3
2026-07-14,24,12,12,9,5,10
2026-07-15,28,15,13,9,4,15
2026-07-16,14,9,5,4,4,6
2026-07-17,22,19,3,4,10,8
2026-07-18,16,9,7,8,3,5
2026-07-19,38,16,22,14,12,12
2026-07-20,49,30,19,6,16,27
2026-07-21,17,12,5,0,5,12
2026-07-22,6,4,2,0,1,5
2026-07-23,7,4,3,0,5,2
2026-07-24,5,3,2,0,1,4
2026-07-25,3,2,1,1,1,1
2026-07-26,1,0,1,0,1,0
2026-07-27,0,0,0,0,0,0
2026-07-28,3,0,3,0,3,0
2026-07-29,6,3,3,0,4,2
2026-07-30,2,0,2,0,2,0
2026-07-31,6,1,5,0,5,1
2026-08-01,3,2,1,0,2,1
2026-08-02,0,0,0,0,0,0
2026-08-03,3,1,2,0,2,1
2026-08-04,4,3,1,0,2,2
2026-08-05,4,4,0,0,2,2
2026-08-06,2,1,1,0,2,0
