fecha,total_articulos,es,en,cluster_0,cluster_1,cluster_2,dia_semana,zscore,anomalia_zscore,anomalia_isolation_forest,score_isolation_forest
2026-07-10,21,11,10,9,8,4,4,0.7537670757116464,False,False,0.03480616061818076
2026-07-11,21,6,15,9,9,3,5,0.7537670757116464,False,True,-0.0001761164512064095
2026-07-12,17,7,10,6,6,5,6,0.4265503606740324,False,False,0.03141144254149686
2026-07-13,8,3,5,3,2,3,0,-0.309687248160599,False,False,0.037986440295610935
2026-07-14,24,12,12,9,5,10,1,0.9991796119898568,False,False,0.013368079562430135
2026-07-15,28,15,13,9,4,15,2,1.326396327027471,False,True,-0.022153674562492398
2026-07-16,14,9,5,4,4,6,3,0.18113782439582196,False,False,0.060085922997133945
2026-07-17,22,19,3,4,10,8,4,0.8355712544710499,False,True,-0.030025640663021824
2026-07-18,16,9,7,8,3,5,5,0.3447461819146289,False,False,0.032317012939180656
2026-07-19,38,16,22,14,12,12,6,2.1444381146215057,True,True,-0.14333658952789785
2026-07-20,49,30,19,6,16,27,0,3.0442840809749443,True,True,-0.19075794074993313
2026-07-21,17,12,5,0,5,12,1,0.4265503606740324,False,False,0.003346212572922558
2026-07-22,6,4,2,0,1,5,2,-0.473295605679406,False,False,0.09472537672031334
2026-07-23,7,4,3,0,5,2,3,-0.3914914269200025,False,False,0.10967278926906243
2026-07-24,5,3,2,0,1,4,4,-0.5550997844388095,False,False,0.10538152460814482
2026-07-25,3,2,1,1,1,1,5,-0.7187081419576165,False,False,0.08793962704235742
2026-07-26,1,0,1,0,1,0,6,-0.8823164994764234,False,False,0.0880140747871026
2026-07-27,0,0,0,0,0,0,0,-0.9641206782358269,False,False,0.04623013056071951
2026-07-28,3,0,3,0,3,0,1,-0.7187081419576165,False,False,0.10560703972973456
2026-07-29,6,3,3,0,4,2,2,-0.473295605679406,False,False,0.12141113141409282
2026-07-30,2,0,2,0,2,0,3,-0.8005123207170199,False,False,0.12799367056259547
2026-07-31,6,1,5,0,5,1,4,-0.473295605679406,False,False,0.06635981992805451
2026-08-01,3,2,1,0,2,1,5,-0.7187081419576165,False,False,0.12442246395876488
2026-08-02,0,0,0,0,0,0,6,-0.9641206782358269,False,False,0.05131961878168645
2026-08-03,3,1,2,0,2,1,0,-0.7187081419576165,False,False,0.10442318748030344
2026-08-04,4,3,1,0,2,2,1,-0.636903963198213,False,False,0.13802199576505259
2026-08-05,4,4,0,0,2,2,2,-0.636903963198213,False,False,0.1170132864136581
2026-08-06,2,1,1,0,2,0,3,-0.8005123207170199,False,False,0.1300112559751042
