id_equipo,liga,pais,equipo
1,Liga MX,Mexico,Club America
2,Liga MX,Mexico,Chivas Guadalajara
3,Liga MX,Mexico,Cruz Azul
4,La Liga,Espana,Real Madrid
5,La Liga,Espana,FC Barcelona
6,La Liga,Espana,Atletico Madrid
7,Premier League,Inglaterra,Manchester City
8,Premier League,Inglaterra,Liverpool
9,Premier League,Inglaterra,Arsenal
10,Serie A,Italia,Juventus
11,Serie A,Italia,AC Milan
12,Bundesliga,Alemania,Bayern Munich
13,Bundesliga,Alemania,Borussia Dortmund
14,Ligue 1,Francia,Paris Saint-Germain
15,Liga Argentina,Argentina,Boca Juniors
16,Liga Argentina,Argentina,River Plate
17,Brasileirao,Brasil,Flamengo
18,Brasileirao,Brasil,Palmeiras
19,Primeira Liga,Portugal,Benfica
20,Saudi Pro League,Arabia Saudita,Al Nassr
