id_pais,continente,region,pais
1,America,Norteamerica,Mexico
2,America,Norteamerica,Estados Unidos
3,America,Norteamerica,Canada
4,America,Sudamerica,Argentina
5,America,Sudamerica,Brasil
6,America,Sudamerica,Uruguay
7,Europa,Europa Occidental,Espana
8,Europa,Europa Occidental,Francia
9,Europa,Europa Occidental,Inglaterra
10,Europa,Europa Occidental,Alemania
11,Europa,Europa del Sur,Italia
12,Europa,Europa del Sur,Portugal
13,Africa,Norte de Africa,Marruecos
14,Asia,Asia Oriental,Japon
15,Asia,Asia Occidental,Arabia Saudita
