id_tiempo,fecha,anio,trimestre,mes,nombre_mes,dia_semana
1,2023-01-01,2023,T1,1,January,Domingo
2,2023-01-02,2023,T1,1,January,Lunes
3,2023-01-03,2023,T1,1,January,Martes
4,2023-01-04,2023,T1,1,January,Miercoles
5,2023-01-05,2023,T1,1,January,Jueves
6,2023-01-06,2023,T1,1,January,Viernes
7,2023-01-07,2023,T1,1,January,Sabado
8,2023-01-08,2023,T1,1,January,Domingo
9,2023-01-09,2023,T1,1,January,Lunes
10,2023-01-10,2023,T1,1,January,Martes
11,2023-01-11,2023,T1,1,January,Miercoles
12,2023-01-12,2023,T1,1,January,Jueves
13,2023-01-13,2023,T1,1,January,Viernes
14,2023-01-14,2023,T1,1,January,Sabado
15,2023-01-15,2023,T1,1,January,Domingo
16,2023-01-16,2023,T1,1,January,Lunes
17,2023-01-17,2023,T1,1,January,Martes
18,2023-01-18,2023,T1,1,January,Miercoles
19,2023-01-19,2023,T1,1,January,Jueves
20,2023-01-20,2023,T1,1,January,Viernes
21,2023-01-21,2023,T1,1,January,Sabado
22,2023-01-22,2023,T1,1,January,Domingo
23,2023-01-23,2023,T1,1,January,Lunes
24,2023-01-24,2023,T1,1,January,Martes
25,2023-01-25,2023,T1,1,January,Miercoles
26,2023-01-26,2023,T1,1,January,Jueves
27,2023-01-27,2023,T1,1,January,Viernes
28,2023-01-28,2023,T1,1,January,Sabado
29,2023-01-29,2023,T1,1,January,Domingo
30,2023-01-30,2023,T1,1,January,Lunes
31,2023-01-31,2023,T1,1,January,Martes
32,2023-02-01,2023,T1,2,February,Miercoles
33,2023-02-02,2023,T1,2,February,Jueves
34,2023-02-03,2023,T1,2,February,Viernes
35,2023-02-04,2023,T1,2,February,Sabado
36,2023-02-05,2023,T1,2,February,Domingo
37,2023-02-06,2023,T1,2,February,Lunes
38,2023-02-07,2023,T1,2,February,Martes
39,2023-02-08,2023,T1,2,February,Miercoles
40,2023-02-09,2023,T1,2,February,Jueves
41,2023-02-10,2023,T1,2,February,Viernes
42,2023-02-11,2023,T1,2,February,Sabado
43,2023-02-12,2023,T1,2,February,Domingo
44,2023-02-13,2023,T1,2,February,Lunes
45,2023-02-14,2023,T1,2,February,Martes
46,2023-02-15,2023,T1,2,February,Miercoles
47,2023-02-16,2023,T1,2,February,Jueves
48,2023-02-17,2023,T1,2,February,Viernes
49,2023-02-18,2023,T1,2,February,Sabado
50,2023-02-19,2023,T1,2,February,Domingo
51,2023-02-20,2023,T1,2,February,Lunes
52,2023-02-21,2023,T1,2,February,Martes
53,2023-02-22,2023,T1,2,February,Miercoles
54,2023-02-23,2023,T1,2,February,Jueves
55,2023-02-24,2023,T1,2,February,Viernes
56,2023-02-25,2023,T1,2,February,Sabado
57,2023-02-26,2023,T1,2,February,Domingo
58,2023-02-27,2023,T1,2,February,Lunes
59,2023-02-28,2023,T1,2,February,Martes
60,2023-03-01,2023,T1,3,March,Miercoles
61,2023-03-02,2023,T1,3,March,Jueves
62,2023-03-03,2023,T1,3,March,Viernes
63,2023-03-04,2023,T1,3,March,Sabado
64,2023-03-05,2023,T1,3,March,Domingo
65,2023-03-06,2023,T1,3,March,Lunes
66,2023-03-07,2023,T1,3,March,Martes
67,2023-03-08,2023,T1,3,March,Miercoles
68,2023-03-09,2023,T1,3,March,Jueves
69,2023-03-10,2023,T1,3,March,Viernes
70,2023-03-11,2023,T1,3,March,Sabado
71,2023-03-12,2023,T1,3,March,Domingo
72,2023-03-13,2023,T1,3,March,Lunes
73,2023-03-14,2023,T1,3,March,Martes
74,2023-03-15,2023,T1,3,March,Miercoles
75,2023-03-16,2023,T1,3,March,Jueves
76,2023-03-17,2023,T1,3,March,Viernes
77,2023-03-18,2023,T1,3,March,Sabado
