id_fact,id_tiempo,id_pais,id_ciudad,id_red,id_equipo,sentimiento,hashtag,interacciones,alcance,compartidos,respuestas,ratio_compartidos
1,318,7,16,1,9,Negativo,#FutbolTotal,114,1194,19,9,0.1667
2,281,14,29,2,11,Positivo,#VamosSeleccion,182,2432,36,28,0.1978
3,326,8,18,4,15,Negativo,#FutbolTotal,506,4138,74,42,0.1462
4,246,1,1,5,2,Negativo,#FutbolTotal,390,3984,60,68,0.1538
5,212,12,26,2,19,Positivo,#Mundial2026,170,1768,34,25,0.2
6,177,4,10,5,19,Neutro,#FanaticoDelFutbol,99,793,23,17,0.2323
7,55,9,20,1,14,Negativo,#RumboAlMundial,340,2884,72,7,0.2118
8,159,8,18,2,14,Neutro,#Mundial2026,63,570,8,6,0.127
9,144,3,7,5,6,Neutro,#FanaticoDelFutbol,990,14356,53,167,0.0535
10,256,12,25,2,4,Neutro,#Campeones,230,2354,41,21,0.1783
11,126,4,9,2,11,Positivo,#FutbolTotal,330,3966,79,41,0.2394
12,56,7,15,3,1,Negativo,#FutbolTotal,311,3454,64,50,0.2058
13,10,7,14,2,11,Positivo,#VamosSeleccion,60,606,14,10,0.2333
14,302,10,22,2,12,Positivo,#VamosSeleccion,122,1769,10,15,0.082
15,76,14,30,2,2,Positivo,#GoleoElEquipo,819,10420,197,146,0.2405
16,116,6,13,4,15,Positivo,#RumboAlMundial,96,1031,9,13,0.0938
17,218,9,20,2,6,Positivo,#FanaticoDelFutbol,136,1956,16,14,0.1176
18,214,5,12,5,1,Negativo,#FanaticoDelFutbol,30,380,3,1,0.1
19,322,4,9,2,15,Neutro,#FutbolTotal,70,883,12,6,0.1714
20,58,4,9,3,16,Neutro,#Mundial2026,141,1230,10,5,0.0709
21,6,12,25,3,6,Positivo,#RumboAlMundial,281,3416,32,30,0.1139
22,102,1,1,5,17,Neutro,#GoleoElEquipo,39,442,7,1,0.1795
23,118,2,5,1,19,Positivo,#Mundial2026,627,7723,148,44,0.236
24,196,2,6,4,7,Negativo,#FutbolTotal,274,4013,37,27,0.135
25,75,14,30,4,15,Negativo,#Mundial2026,177,2257,27,17,0.1525
26,304,2,6,2,15,Neutro,#DiaDePartido,149,2172,21,5,0.1409
27,123,9,20,4,9,Neutro,#Mundial2026,705,10175,146,96,0.2071
28,76,1,3,3,3,Negativo,#VamosSeleccion,39,542,2,1,0.0513
29,24,9,19,5,8,Negativo,#GoleoElEquipo,126,1071,8,3,0.0635
30,15,7,16,5,4,Neutro,#DiaDePartido,79,1182,5,12,0.0633
31,147,5,12,2,17,Neutro,#GoleoElEquipo,150,1484,36,21,0.24
32,224,6,13,3,18,Negativo,#DiaDePartido,256,3052,21,34,0.082
33,75,4,10,2,15,Neutro,#VamosSeleccion,161,2105,13,16,0.0807
34,205,5,12,5,17,Neutro,#VamosSeleccion,102,1392,14,17,0.1373
35,337,7,15,5,8,Positivo,#Mundial2026,743,8505,66,71,0.0888
36,231,3,7,2,1,Negativo,#GoleoElEquipo,449,5415,40,43,0.0891
37,19,7,16,5,10,Negativo,#DiaDePartido,96,1090,14,14,0.1458
38,280,5,12,3,18,Neutro,#FutbolTotal,128,1610,9,9,0.0703
39,280,9,19,5,8,Negativo,#FanaticoDelFutbol,99,864,14,9,0.1414
40,245,3,7,5,10,Neutro,#Mundial2026,174,1594,32,20,0.1839
41,261,1,1,1,11,Negativo,#FanaticoDelFutbol,216,2219,18,13,0.0833
42,36,9,19,5,20,Positivo,#DiaDePartido,12,176,2,1,0.1667
43,9,14,29,1,4,Negativo,#GoleoElEquipo,137,1656,24,10,0.1752
44,73,15,32,4,20,Positivo,#RumboAlMundial,49,480,5,6,0.102
45,364,9,20,1,9,Positivo,#FanaticoDelFutbol,82,1004,14,6,0.1707
46,85,9,20,5,8,Positivo,#FutbolTotal,86,788,7,8,0.0814
47,74,1,1,1,1,Positivo,#Mundial2026,323,3742,27,34,0.0836
48,151,6,13,1,10,Neutro,#Mundial2026,420,4282,90,62,0.2143
49,278,4,9,1,16,Positivo,#VamosSeleccion,95,1314,10,10,0.1053
50,102,1,1,1,2,Neutro,#VamosSeleccion,169,2511,13,9,0.0769
51,348,1,1,5,2,Negativo,#Campeones,54,534,13,7,0.2407
52,267,9,20,1,12,Positivo,#RumboAlMundial,195,1865,37,32,0.1897
53,284,5,12,2,2,Positivo,#VamosSeleccion,293,3391,47,31,0.1604
54,85,9,19,2,16,Positivo,#FanaticoDelFutbol,499,4174,116,44,0.2325
55,225,9,19,1,20,Neutro,#VamosSeleccion,401,6012,62,62,0.1546
56,85,5,12,2,17,Positivo,#Campeones,140,2005,13,11,0.0929
57,328,1,2,1,15,Positivo,#GoleoElEquipo,451,6336,63,26,0.1397
58,321,8,18,1,8,Neutro,#Mundial2026,78,919,11,3,0.141
59,342,3,8,3,7,Neutro,#VamosSeleccion,726,9457,161,41,0.2218
60,295,11,23,1,11,Neutro,#Mundial2026,148,1210,18,5,0.1216
61,168,1,1,1,13,Positivo,#GoleoElEquipo,16,204,1,1,0.0625
62,7,11,23,2,1,Negativo,#VamosSeleccion,307,3246,62,51,0.202
63,168,2,4,1,8,Positivo,#Campeones,138,1992,28,14,0.2029
64,161,2,4,3,2,Positivo,#FutbolTotal,23,318,3,2,0.1304
65,218,13,27,1,13,Positivo,#DiaDePartido,493,6322,44,24,0.0892
66,10,1,3,2,17,Positivo,#FutbolTotal,2202,30823,191,354,0.0867
67,120,12,25,1,15,Positivo,#Mundial2026,103,1314,10,13,0.0971
68,316,5,12,2,8,Positivo,#GoleoElEquipo,344,3420,39,40,0.1134
69,154,12,25,5,4,Positivo,#DiaDePartido,288,2380,46,30,0.1597
70,211,14,29,5,5,Neutro,#Mundial2026,72,1003,9,4,0.125
71,109,12,26,1,19,Neutro,#FutbolTotal,1536,14098,332,125,0.2161
72,332,8,17,3,14,Neutro,#RumboAlMundial,7,87,1,0,0.1429
73,271,3,7,5,14,Positivo,#DiaDePartido,56,757,3,2,0.0536
74,194,4,9,4,16,Neutro,#GoleoElEquipo,72,734,9,11,0.125
75,89,10,21,3,20,Positivo,#Campeones,142,1409,13,3,0.0915
76,316,4,9,4,15,Positivo,#FutbolTotal,322,3595,79,21,0.2453
77,250,9,20,2,8,Positivo,#Mundial2026,69,796,16,11,0.2319
78,68,8,17,5,6,Negativo,#FutbolTotal,385,3090,26,30,0.0675
79,348,9,19,1,1,Positivo,#Mundial2026,63,507,12,2,0.1905
80,29,9,20,1,8,Negativo,#Mundial2026,29,414,4,2,0.1379
81,174,10,21,3,13,Neutro,#VamosSeleccion,319,4576,36,30,0.1129
82,63,6,13,2,3,Negativo,#Mundial2026,97,1376,22,9,0.2268
83,15,4,10,2,16,Positivo,#FutbolTotal,42,452,8,6,0.1905
84,268,4,9,4,15,Positivo,#RumboAlMundial,277,4060,33,22,0.1191
85,191,9,20,4,17,Negativo,#Campeones,1060,15507,178,146,0.1679
86,8,10,21,5,13,Neutro,#GoleoElEquipo,146,2047,7,17,0.0479
87,233,5,11,4,18,Neutro,#Mundial2026,132,1854,28,8,0.2121
88,43,5,12,1,18,Negativo,#Mundial2026,101,1124,19,15,0.1881
89,85,4,10,5,16,Neutro,#RumboAlMundial,38,567,6,5,0.1579
90,175,4,10,2,15,Positivo,#VamosSeleccion,129,1515,12,5,0.093
91,51,11,23,2,11,Negativo,#FutbolTotal,393,3147,52,29,0.1323
92,53,7,15,5,4,Neutro,#FutbolTotal,1312,15020,280,118,0.2134
93,163,4,9,1,16,Negativo,#Mundial2026,1040,15472,174,34,0.1673
94,294,7,14,3,5,Negativo,#FanaticoDelFutbol,290,3153,65,10,0.2241
95,246,7,16,2,5,Neutro,#Campeones,189,2181,29,10,0.1534
96,155,7,14,2,5,Negativo,#VamosSeleccion,612,8869,105,108,0.1716
97,196,1,1,2,7,Negativo,#VamosSeleccion,80,655,13,14,0.1625
98,357,6,13,4,18,Neutro,#VamosSeleccion,681,8868,100,31,0.1468
99,296,7,15,2,19,Negativo,#VamosSeleccion,380,5535,68,36,0.1789
100,352,15,31,2,17,Positivo,#VamosSeleccion,236,2210,57,18,0.2415
