consulta,rank,doc_id,score,fuente,idioma,url
españa campeón mundial,1,116,0.3241,Marca,es,https://www.marca.com/futbol/mundial/2026/07/20/fiesta-grande-jamas-contada-2-millones-calles.html
españa campeón mundial,2,98,0.2122,BBC News,es,https://www.bbc.com/mundo/articles/cwyj34zdll7o
españa campeón mundial,3,78,0.2012,Larazon.es,es,https://www.larazon.es/tecnologia-consumo/series/2-opciones-gratis-otra-pago-volver-ver-espana-argentina-final-mundial-2026_202607206a5e0657e9f2e84b5c73772d.html
españa campeón mundial,4,144,0.1853,Marca,es,https://www.marca.com/futbol/seleccion/2026/07/21/cantico-argentino-bote-colo-fiesta-mundial-video.html
españa campeón mundial,5,118,0.1847,El Mundo,es,https://www.elmundo.es/deportes/futbol/mundial-de-futbol/2026/07/18/6a5aa7d1fdddff0a098b457f.html
polémica arbitral,1,52,0.1715,El Mundo,es,https://www.elmundo.es/deportes/futbol/mundial-de-futbol/2026/07/14/6a55e1dae85ece692a8b456f.html
polémica arbitral,2,12,0.1268,Hipertextual,es,https://hipertextual.com/cine-television/la-odisea-revienta-la-taquilla-y-rompe-el-record-historico-de-christopher-nolan/
polémica arbitral,3,91,0.1081,20minutos.es,es,https://www.20minutos.es/deportes/futbol/indignacion-total-noruega-tras-primer-gol-jude-bellingham-se-quejan-un-posible-toque-balon-spidercam_7013579_0.html
polémica arbitral,4,103,0.0977,Marca,es,https://www.marca.com/futbol/mundial/2026/07/15/senadora-paraguaya-celeste-amarilla-viste-colores-espana.html
polémica arbitral,5,105,0.0,Marca,es,https://www.marca.com/tiramillas/sociedad/2026/07/20/seleccion-espanola-borra-trump-foto-buscada-mundial-rastro-presidente-rodri-levantaba-trofeo.html
lesión jugador,1,9,0.2544,Marca,es,https://www.marca.com/futbol/mundial/2026/07/10/espana-2-1-belgica-resumen-mundial-2026-video.html
lesión jugador,2,139,0.1709,El Mundo,es,https://www.elmundo.es/deportes/futbol/mundial-de-futbol/2026/07/15/6a57a4ecfdddff01518b45aa.html
lesión jugador,3,123,0.0,Marca,es,https://www.marca.com/futbol/mundial/album/2026/07/21/aitana-superestrella-fiesta-espana-lola-indigo-ana-mena.html
lesión jugador,4,106,0.0,Larazon.es,es,https://www.larazon.es/tecnologia-consumo/operadoras/vodafone-se-suma-cambiar-nombre-su-red-movil-apoyo-seleccion-espanola_202607176a59f0840500ab412c9aa7d6.html
lesión jugador,5,107,0.0,Xataka.com,es,https://www.xataka.com/magnet/argentina-tiene-claro-que-argentina-tuvo-que-regalar-cuarto-mundial-para-argentina-nadie-argentina-tiene-muy-claro-que
amazon documental selección española,1,0,0.5708,Hipertextual,es,https://hipertextual.com/cine-television/amazon-prime-video-anuncia-documental-seleccion-espanola-mundial-2026-numero-de-episodios-cuando-se-estrena/
amazon documental selección española,2,131,0.1246,El Mundo,es,https://www.elmundo.es/economia/empresas/2026/07/17/6a5a3f84e85ece78658b45b3.html
amazon documental selección española,3,72,0.1228,Marketingdirecto.com,es,https://www.marketingdirecto.com/anunciantes-general/corte-ingles-lleva-apoyo-seleccion-espanola-times-square-nueva-york-final-mundial
amazon documental selección española,4,151,0.111,Xataka.com,es,https://www.xataka.com/investigacion/no-hace-falta-terremoto-para-mover-aguja-sismica-gol-espana-basta
amazon documental selección española,5,67,0.1101,Trendencias.com,es,https://www.trendencias.com/celebrities/lamine-yamal-final-mundial-2026-a-sus-19-anos-no-teneis-que-esperar-nada-mi
argentina final,1,225,0.3413,BBC News,en,https://www.bbc.co.uk/sport/football/videos/cevlr32zzrno
argentina final,2,318,0.2354,Al Jazeera English,en,https://www.aljazeera.com/sports/2026/7/18/spain-argentina-fifa-world-cup-final-prediction-head-to-head-messi-yamal-prediction-venue
argentina final,3,45,0.2305,Gizmodo.com,es,https://es.gizmodo.com/argentina-vs-espana-en-vivo-gratis-donde-ver-la-final-del-mundial-2026-desde-cualquier-lugar-2000246501
argentina final,4,44,0.2257,Gizmodo.com,es,https://es.gizmodo.com/argentina-vs-suiza-en-vivo-gratis-donde-ver-el-mundial-2026-desde-cualquier-lugar-2000245410
argentina final,5,3,0.2244,Xataka.com,es,https://www.xataka.com/basics/como-ver-espana-argentina-fecha-hora-final-mundial-2026-donde-puedes-verlo-cualquier-dispositivo
spain world cup champion,1,137,0.3059,Marketingdirecto.com,es,https://www.marketingdirecto.com/anunciantes-general/publicaciones/espana-conquista-valor-marca-somos-lideres-finales-world-cup-brand-index-2026
spain world cup champion,2,1,0.24,Hipertextual,es,https://hipertextual.com/videojuegos/despiden-empleados-crearon-juego-oficial-mundial-2026-netflix/
spain world cup champion,3,256,0.2124,The FADER,en,https://www.thefader.com/2026/07/16/how-to-watch-fifa-world-cup-2026-final-halftime-show-madonna-justin-bieber-shakira-burna-boy-bts
spain world cup champion,4,319,0.2043,Al Jazeera English,en,https://www.aljazeera.com/sports/2026/7/19/spain-argentina-fifa-world-cup-who-will-win-prediction-ex-players
