consulta,motor,rank,doc_id,score,fuente,idioma,url,relevante
españa campeón mundial,BM25,1,116,5.9846,Marca,es,https://www.marca.com/futbol/mundial/2026/07/20/fiesta-grande-jamas-contada-2-millones-calles.html,
españa campeón mundial,Semantico,1,11,0.5958,Marca,es,https://www.marca.com/futbol/mundial/2026/07/15/inglaterra-1-2-argentina-resumen-mundial-2026-video.html,
españa campeón mundial,BM25,2,71,4.7913,Marca,es,https://www.marca.com/futbol/mundial/2026/07/17/detalles-anillo-jugadores-recibiran-ganar-mundial-2026-podras-comprar-video.html,
españa campeón mundial,Semantico,2,90,0.5389,Marca,es,https://www.marca.com/futbol/mundial/2026/07/12/mejores-semifinales-historia-estara-top-4-ranking-fifa-completo-primera-vez.html,
españa campeón mundial,BM25,3,118,4.7913,El Mundo,es,https://www.elmundo.es/deportes/futbol/mundial-de-futbol/2026/07/18/6a5aa7d1fdddff0a098b457f.html,
españa campeón mundial,Semantico,3,66,0.5232,Marca,es,https://www.marca.com/futbol/mundial/2026/07/16/antartida-aficionado-argentino-celebra-clasificacion-gran-final-mundial-video.html,
españa campeón mundial,BM25,4,78,4.7064,Larazon.es,es,https://www.larazon.es/tecnologia-consumo/series/2-opciones-gratis-otra-pago-volver-ver-espana-argentina-final-mundial-2026_202607206a5e0657e9f2e84b5c73772d.html,
españa campeón mundial,Semantico,4,136,0.5232,Marca,es,https://www.marca.com/futbol/seleccion/2026/07/12/test-6-6-mundial-bonus-track-especial-video.html,
españa campeón mundial,BM25,5,144,4.6494,Marca,es,https://www.marca.com/futbol/seleccion/2026/07/21/cantico-argentino-bote-colo-fiesta-mundial-video.html,
españa campeón mundial,Semantico,5,83,0.5211,Marca,es,https://www.marca.com/futbol/mundial/2026/07/16/schweinsteiger-celebra-hinchada-argentina-haberla-eliminado-tres-veces-mundiales-video.html,
polémica arbitral,BM25,1,52,7.3952,El Mundo,es,https://www.elmundo.es/deportes/futbol/mundial-de-futbol/2026/07/14/6a55e1dae85ece692a8b456f.html,
polémica arbitral,Semantico,1,77,0.3932,Xataka.com,es,https://www.xataka.com/magnet/1966-jugador-argentina-fue-expulsado-no-habia-forma-explicarselo-entonces-hay-tarjetas-amarillas-rojas,
polémica arbitral,BM25,2,12,5.7259,Hipertextual,es,https://hipertextual.com/cine-television/la-odisea-revienta-la-taquilla-y-rompe-el-record-historico-de-christopher-nolan/,
polémica arbitral,Semantico,2,24,0.3664,Puromarketing.com,es,https://www.puromarketing.com/13/217351/estrategia-publicitaria-hisense-logra-acaparar-atencion-redes-sociales-durante-mundial-2026,
polémica arbitral,BM25,3,91,4.662,20minutos.es,es,https://www.20minutos.es/deportes/futbol/indignacion-total-noruega-tras-primer-gol-jude-bellingham-se-quejan-un-posible-toque-balon-spidercam_7013579_0.html,
polémica arbitral,Semantico,3,101,0.3564,Marca,es,https://www.marca.com/futbol/mundial/2026/07/29/duro-procedimiento-disciplinario-fifa-incidentes-ocurridos-durante-final-mundial.html,
