player_id,nombre,competicion_raw,partidos_raw,goles_raw,asistencias_raw,amarillas_raw,rojas_raw,minutos_raw,extraccion_exitosa
1007720,Tyler Bindon,Championship,25,1,-,1,-,"2,029'",True
1007720,Tyler Bindon,EFL Cup,1,-,-,-,-,34',True
1007720,Tyler Bindon,FA Cup,-,-,-,-,-,-,True
1007720,Tyler Bindon,TOTAL,26,1,-,1,-,"2,063'",True
100986,Thomas Meunier,Ligue 1,25,2,2,3,-,"1,910'",True
100986,Thomas Meunier,Europa League,8,-,1,-,-,481',True
100986,Thomas Meunier,Coupe de France,2,-,-,-,-,158',True
100986,Thomas Meunier,TOTAL,35,2,3,3,-,"2,549'",True
1012564,Rayan,Premier League,15,5,2,1,-,"1,120'",True
1012564,Rayan,Campeonato Carioca,1,2,-,-,-,85',True
1012564,Rayan,TOTAL,16,7,2,1,-,"1,205'",True
1016015,Ngal'ayel Mukau,Ligue 1,30,1,-,3,-,"1,540'",True
1016015,Ngal'ayel Mukau,Europa League,11,1,-,1,-,713',True
1016015,Ngal'ayel Mukau,Coupe de France,1,-,-,-,-,30',True
1016015,Ngal'ayel Mukau,TOTAL,42,2,-,4,-,"2,283'",True
1017735,Woodensky Pierre,CONCACAF Champions Cup,5,-,-,-,-,242',True
1017735,Woodensky Pierre,CONCACAF Caribbean Cup,3,-,-,-,-,202',True
1017735,Woodensky Pierre,TOTAL,8,-,-,-,-,444',True
1045375,Niko Sigur,SuperSport HNL,29,1,3,4,-,"2,227'",True
1045375,Niko Sigur,UECL Qualifying,4,-,-,-,-,153',True
1045375,Niko Sigur,Hrvatski nogometni kup,2,-,-,-,-,148',True
1045375,Niko Sigur,TOTAL,35,1,3,4,-,"2,528'",True
104951,El Mahdi Soliman,CAF Confederation Cup,6,3,2,2,-,480',True
104951,El Mahdi Soliman,Premier League,6,3,3,1,-,476',True
104951,El Mahdi Soliman,Championship Playoff,5,4,3,-,-,450',True
104951,El Mahdi Soliman,Egyptian League Cup,3,5,-,-,-,270',True
104951,El Mahdi Soliman,Egypt Cup,1,2,-,-,-,90',True
104951,El Mahdi Soliman,Egyptian Super Cup,-,-,-,-,-,-,True
104951,El Mahdi Soliman,TOTAL,21,17,8,3,-,"1,766'",True
1049911,Tyler Fletcher,Premier League 2,15,-,1,-,-,"1,192'",True
1049911,Tyler Fletcher,Premier League Int. Cup U21,4,-,1,-,-,390',True
1049911,Tyler Fletcher,National League Cup,4,-,-,-,-,288',True
1049911,Tyler Fletcher,PL2 Playoffs,3,-,1,-,-,270',True
1049911,Tyler Fletcher,EFL Trophy,3,-,-,-,-,270',True
1049911,Tyler Fletcher,Premier League,2,-,-,-,-,17',True
1049911,Tyler Fletcher,FA Cup,-,-,-,-,-,-,True
1049911,Tyler Fletcher,TOTAL,31,-,3,-,-,"2,427'",True
1051591,Amirmohammad Razzaghinia,Persian Gulf League,21,-,-,3,-,"1,494'",True
1051591,Amirmohammad Razzaghinia,AFC Champions League Two,6,-,-,1,-,443',True
1051591,Amirmohammad Razzaghinia,Hazfi Cup,1,-,-,-,-,34',True
1051591,Amirmohammad Razzaghinia,Iran Super Cup,1,-,-,-,-,1',True
1051591,Amirmohammad Razzaghinia,TOTAL,29,-,-,4,-,"1,972'",True
1052439,Kendry Páez,Ligue 1,15,1,-,-,-,420',True
1052439,Kendry Páez,Torneo Apertura,8,1,-,1,-,315',True
1052439,Kendry Páez,Conference League,5,-,-,2,-,280',True
1052439,Kendry Páez,Copa Sudamericana,4,-,1,-,-,102',True
1052439,Kendry Páez,Playoff Torneo Apertura,2,-,-,-,-,44',True
1052439,Kendry Páez,UECL Qualifying,1,-,-,-,-,18',True
1052439,Kendry Páez,Copa Argentina,-,-,-,-,-,-,True
1052439,Kendry Páez,Coupe de France,-,-,-,-,-,-,True
