seleccion,convocados_totales,convocados_5_grandes_ligas,pct_5_grandes_ligas,ronda_alcanzada,indice_rendimiento
SPAIN,26,26,100.0,Campeon,27
ENGLAND,26,25,96.15,Match for third place,20
GERMANY,26,25,96.15,Round of 32,13
FRANCE,26,24,92.31,Match for third place,24
SWITZERLAND,26,23,88.46,Quarter-final,14
NETHERLANDS,26,22,84.62,Round of 32,14
ARGENTINA,26,20,76.92,Final,26
BELGIUM,26,20,76.92,Quarter-final,15
SENEGAL,26,20,76.92,Round of 32,5
CROATIA,26,17,65.38,Round of 32,6
NORWAY,26,17,65.38,Quarter-final,11
PORTUGAL,26,17,65.38,Round of 16,12
AUSTRIA,26,16,61.54,Round of 32,2
MOROCCO,26,15,57.69,Quarter-final,14
BRAZIL,26,14,53.85,Round of 16,15
SWEDEN,26,14,53.85,Round of 32,2
GHANA,26,13,50.0,Round of 32,4
UNITED STATES,26,13,50.0,Round of 16,11
IVORY COAST,26,12,46.15,Round of 32,8
JAPAN,26,12,46.15,Round of 32,9
ALGERIA,26,11,42.31,Round of 32,1
DEMOCRATIC REPUBLIC OF THE CONGO,26,10,38.46,Round of 32,5
SCOTLAND,26,10,38.46,Fase de grupos,0
TURKEY,26,9,34.62,Fase de grupos,1
COLOMBIA,26,8,30.77,Round of 16,13
URUGUAY,26,8,30.77,Fase de grupos,1
CANADA,26,7,26.92,Round of 16,9
CZECH REPUBLIC,26,7,26.92,Fase de grupos,-3
ECUADOR,26,6,23.08,Round of 32,3
TUNISIA,26,6,23.08,Fase de grupos,-10
AUSTRALIA,26,5,19.23,Round of 32,5
BOSNIA AND HERZEGOVINA,26,5,19.23,Round of 32,2
MEXICO,26,5,19.23,Round of 16,18
SOUTH KOREA,26,5,19.23,Fase de grupos,2
EGYPT,26,4,15.38,Round of 16,8
HAITI,26,4,15.38,Fase de grupos,-6
PARAGUAY,26,4,15.38,Round of 16,3
CAPE VERDE,26,1,3.85,Round of 32,3
JORDAN,26,1,3.85,Fase de grupos,-5
NEW ZEALAND,26,1,3.85,Fase de grupos,-5
SAUDI ARABIA,26,1,3.85,Fase de grupos,-2
SOUTH AFRICA,26,1,3.85,Round of 32,3
UZBEKISTAN,26,1,3.85,Fase de grupos,-9
CURAÇAO,26,0,0.0,Fase de grupos,-7
IRAN,26,0,0.0,Fase de grupos,3
IRAQ,26,0,0.0,Fase de grupos,-11
PANAMA,26,0,0.0,Fase de grupos,-4
QATAR,26,0,0.0,Fase de grupos,-7
