jugador,seleccion,posicion,club_actual,carga_partidos_temporada_actual,carga_minutos_temporada_actual,partidos_qatar2022,goles_qatar2022,asistencias_qatar2022,rating_por_90_qatar2022
Abdul Rahman Baba,Ghana,Left-Back,PAOK Thessaloniki,47.0,3801.0,3,0,0,2.314
Adrien Rabiot,France,Central Midfield,AC Milan,33.0,2910.0,6,1,1,3.481
Ajdin Hrustic,Australia,Central Midfield,Heracles Almelo,30.0,2522.0,3,0,0,0.461
Alexis Mac Allister,Argentina,Central Midfield,Liverpool FC,55.0,3885.0,6,1,1,3.764
Alidu Seidu,Ghana,Centre-Back,Stade Rennais FC,26.0,1549.0,2,0,0,3.313
Alireza Jahanbakhsh,Iran,Right Winger,FCV Dender EH,23.0,1034.0,2,0,0,1.347
Alistair Johnston,Canada,Right-Back,Celtic FC,11.0,742.0,3,0,0,2.352
Alphonso Davies,Canada,Left-Back,Bayern Munich,23.0,841.0,3,1,0,2.832
Amadou Onana,Belgium,Defensive Midfield,Aston Villa,38.0,2637.0,2,0,0,2.818
Ante Budimir,Croatia,Centre-Forward,CA Osasuna,40.0,3013.0,2,0,0,1.053
Antoine Semenyo,Ghana,Right Winger,Manchester City,48.0,3870.0,2,0,0,0.971
Antonio Rüdiger,Germany,Centre-Back,Real Madrid,26.0,2190.0,3,0,0,2.169
Ao Tanaka,Japan,Central Midfield,Leeds United,33.0,1699.0,3,1,0,2.409
Axel Witsel,Belgium,Defensive Midfield,Girona FC,32.0,2533.0,3,0,0,2.248
Ayase Ueda,Japan,Centre-Forward,Feyenoord Rotterdam,40.0,3226.0,1,0,0,0.44
Azzedine Ounahi,Morocco,Central Midfield,Girona FC,24.0,1766.0,7,0,0,1.743
Boualem Khoukhi,Qatar,Centre-Back,Al-Sadd SC,28.0,2384.0,3,0,0,2.656
Bukayo Saka,England,Right Winger,Arsenal FC,49.0,3256.0,4,3,0,6.141
Charles De Ketelaere,Belgium,Attacking Midfield,Atalanta BC,42.0,3039.0,1,0,0,1.598
Cyle Larin,Canada,Centre-Forward,Southampton FC,37.0,1555.0,3,0,0,0.736
Daichi Kamada,Japan,Attacking Midfield,Crystal Palace,46.0,3212.0,4,0,0,1.822
Daizen Maeda,Japan,Left Winger,Celtic FC,54.0,4241.0,3,1,0,5.18
David Raum,Germany,Left-Back,RB Leipzig,34.0,2916.0,3,0,1,4.522
Declan Rice,England,Central Midfield,Arsenal FC,55.0,4456.0,5,0,0,2.485
Denzel Dumfries,Netherlands,Right-Back,Inter Milan,28.0,1776.0,5,1,2,4.333
Edouard Mendy,Senegal,Goalkeeper,Al-Ahli SFC,41.0,3810.0,4,0,0,0.557
Ehsan Hajsafi,Iran,Left-Back,Sepahan FC,30.0,2587.0,3,0,0,2.013
Frenkie de Jong,Netherlands,Central Midfield,FC Barcelona,38.0,2569.0,5,1,1,4.009
Gideon Mensah,Ghana,Left-Back,AJ Auxerre,31.0,2424.0,1,0,0,2.483
Harry Kane,England,Centre-Forward,Bayern Munich,51.0,4050.0,5,2,3,6.053
Harry Souttar,Australia,Centre-Back,Leicester City,2.0,178.0,4,0,0,2.555
Hiroki Ito,Japan,Centre-Back,Bayern Munich,23.0,1049.0,1,0,0,1.206
Ibrahima Konaté,France,Centre-Back,Liverpool FC,51.0,4280.0,5,0,0,2.089
Iliman Ndiaye,Senegal,Right Winger,Everton FC,34.0,2833.0,3,0,1,2.197
Ismail Jakobs,Senegal,Left-Back,Galatasaray,39.0,2275.0,4,0,1,2.585
Ismaïla Sarr,Senegal,Right Winger,Crystal Palace,45.0,3612.0,4,1,0,3.03
Ivan Perišić,Croatia,Left Winger,PSV Eindhoven,43.0,3060.0,7,1,3,4.233
Jackson Irvine,Australia,Central Midfield,FC St. Pauli,26.0,1737.0,4,0,0,2.362
Jamal Musiala,Germany,Attacking Midfield,Bayern Munich,24.0,1174.0,3,0,0,1.773
John Stones,England,Centre-Back,Manchester City,18.0,1144.0,5,0,0,2.462
Jonathan David,Canada,Centre-Forward,Juventus FC,46.0,2329.0,3,0,0,0.939
Jonathan Osorio,Canada,Central Midfield,Toronto FC,15.0,1305.0,3,0,0,0.6
Jordan Ayew,Ghana,Centre-Forward,Leicester City,45.0,2366.0,3,0,1,3.552
Jordan Pickford,England,Goalkeeper,Everton FC,39.0,3540.0,5,0,0,0.615
Joshua Kimmich,Germany,Defensive Midfield,Bayern Munich,49.0,4073.0,3,0,0,2.604
Jude Bellingham,England,Attacking Midfield,Real Madrid,40.0,2718.0,5,1,1,5.233
Jules Koundé,France,Right-Back,FC Barcelona,47.0,3529.0,6,0,0,2.16
Junya Ito,Japan,Right Winger,KRC Genk,36.0,2294.0,4,0,1,2.448
Kai Havertz,Germany,Centre-Forward,Arsenal FC,24.0,1066.0,2,2,0,5.166
Kalidou Koulibaly,Senegal,Centre-Back,Al-Hilal SFC,26.0,2336.0,4,1,0,3.433
Kamaldeen Sulemana,Ghana,Left Winger,Atalanta BC,37.0,1345.0,2,0,0,0.411
Karim Boudiaf,Qatar,Defensive Midfield,Al-Duhail SC,19.0,1088.0,3,0,0,1.631
Kevin De Bruyne,Belgium,Attacking Midfield,SSC Napoli,21.0,1360.0,3,0,0,1.728
