jugador,seleccion,posicion,club_actual,goles_club_actual,asistencias_club_actual,minutos_club_actual,rendimiento_club_ga_por90,rating_mundial_por90_qatar2022
Abdul Rahman Baba,Ghana,Left-Back,PAOK Thessaloniki,3.0,3.0,3801.0,0.142,2.314
Adrien Rabiot,France,Central Midfield,AC Milan,6.0,5.0,2910.0,0.34,3.481
Ajdin Hrustic,Australia,Central Midfield,Heracles Almelo,4.0,7.0,2522.0,0.393,0.461
Alexis Mac Allister,Argentina,Central Midfield,Liverpool FC,5.0,7.0,3885.0,0.278,3.764
Alidu Seidu,Ghana,Centre-Back,Stade Rennais FC,0.0,1.0,1549.0,0.058,3.313
Alireza Jahanbakhsh,Iran,Right Winger,FCV Dender EH,1.0,2.0,1034.0,0.261,1.347
Alistair Johnston,Canada,Right-Back,Celtic FC,1.0,2.0,742.0,0.364,2.352
Alphonso Davies,Canada,Left-Back,Bayern Munich,1.0,5.0,841.0,0.642,2.832
Amadou Onana,Belgium,Defensive Midfield,Aston Villa,2.0,0.0,2637.0,0.068,2.818
Ante Budimir,Croatia,Centre-Forward,CA Osasuna,19.0,0.0,3013.0,0.568,1.053
Antoine Semenyo,Ghana,Right Winger,Manchester City,21.0,6.0,3870.0,0.628,0.971
Antonio Rüdiger,Germany,Centre-Back,Real Madrid,1.0,0.0,2190.0,0.041,2.169
Ao Tanaka,Japan,Central Midfield,Leeds United,4.0,0.0,1699.0,0.212,2.409
Axel Witsel,Belgium,Defensive Midfield,Girona FC,1.0,2.0,2533.0,0.107,2.248
Ayase Ueda,Japan,Centre-Forward,Feyenoord Rotterdam,26.0,2.0,3226.0,0.781,0.44
Azzedine Ounahi,Morocco,Central Midfield,Girona FC,5.0,3.0,1766.0,0.408,1.743
Boualem Khoukhi,Qatar,Centre-Back,Al-Sadd SC,1.0,0.0,2384.0,0.038,2.656
Bukayo Saka,England,Right Winger,Arsenal FC,11.0,9.0,3256.0,0.553,6.141
Charles De Ketelaere,Belgium,Attacking Midfield,Atalanta BC,5.0,7.0,3039.0,0.355,1.598
Cyle Larin,Canada,Centre-Forward,Southampton FC,10.0,2.0,1555.0,0.695,0.736
Daichi Kamada,Japan,Attacking Midfield,Crystal Palace,1.0,5.0,3212.0,0.168,1.822
Daizen Maeda,Japan,Left Winger,Celtic FC,17.0,10.0,4241.0,0.573,5.18
David Raum,Germany,Left-Back,RB Leipzig,3.0,9.0,2916.0,0.37,4.522
Declan Rice,England,Central Midfield,Arsenal FC,5.0,11.0,4456.0,0.323,2.485
Denzel Dumfries,Netherlands,Right-Back,Inter Milan,5.0,2.0,1776.0,0.355,4.333
Ehsan Hajsafi,Iran,Left-Back,Sepahan FC,3.0,6.0,2587.0,0.313,2.013
Frenkie de Jong,Netherlands,Central Midfield,FC Barcelona,1.0,8.0,2569.0,0.315,4.009
Gideon Mensah,Ghana,Left-Back,AJ Auxerre,0.0,1.0,2424.0,0.037,2.483
Harry Kane,England,Centre-Forward,Bayern Munich,61.0,7.0,4050.0,1.511,6.053
Harry Souttar,Australia,Centre-Back,Leicester City,1.0,0.0,178.0,0.506,2.555
Hiroki Ito,Japan,Centre-Back,Bayern Munich,1.0,2.0,1049.0,0.257,1.206
Ibrahima Konaté,France,Centre-Back,Liverpool FC,2.0,0.0,4280.0,0.042,2.089
Iliman Ndiaye,Senegal,Right Winger,Everton FC,6.0,3.0,2833.0,0.286,2.197
Ismail Jakobs,Senegal,Left-Back,Galatasaray,0.0,1.0,2275.0,0.04,2.585
Ismaïla Sarr,Senegal,Right Winger,Crystal Palace,21.0,2.0,3612.0,0.573,3.03
Ivan Perišić,Croatia,Left Winger,PSV Eindhoven,10.0,16.0,3060.0,0.765,4.233
Jackson Irvine,Australia,Central Midfield,FC St. Pauli,0.0,1.0,1737.0,0.052,2.362
Jamal Musiala,Germany,Attacking Midfield,Bayern Munich,5.0,6.0,1174.0,0.843,1.773
John Stones,England,Centre-Back,Manchester City,0.0,0.0,1144.0,0.0,2.462
Jonathan David,Canada,Centre-Forward,Juventus FC,8.0,5.0,2329.0,0.502,0.939
Jonathan Osorio,Canada,Central Midfield,Toronto FC,0.0,3.0,1305.0,0.207,0.6
Jordan Ayew,Ghana,Centre-Forward,Leicester City,6.0,3.0,2366.0,0.342,3.552
Joshua Kimmich,Germany,Defensive Midfield,Bayern Munich,2.0,13.0,4073.0,0.331,2.604
Jude Bellingham,England,Attacking Midfield,Real Madrid,8.0,5.0,2718.0,0.43,5.233
Jules Koundé,France,Right-Back,FC Barcelona,3.0,4.0,3529.0,0.179,2.16
Junya Ito,Japan,Right Winger,KRC Genk,7.0,5.0,2294.0,0.471,2.448
Kai Havertz,Germany,Centre-Forward,Arsenal FC,7.0,5.0,1066.0,1.013,5.166
Kalidou Koulibaly,Senegal,Centre-Back,Al-Hilal SFC,2.0,2.0,2336.0,0.154,3.433
Kamaldeen Sulemana,Ghana,Left Winger,Atalanta BC,3.0,2.0,1345.0,0.335,0.411
Karim Boudiaf,Qatar,Defensive Midfield,Al-Duhail SC,1.0,0.0,1088.0,0.083,1.631
Kevin De Bruyne,Belgium,Attacking Midfield,SSC Napoli,5.0,4.0,1360.0,0.596,1.728
Ko Itakura,Japan,Centre-Back,Ajax Amsterdam,1.0,0.0,1915.0,0.047,3.727
Krépin Diatta,Senegal,Right Midfield,AS Monaco,0.0,2.0,1235.0,0.146,1.502
Leandro Trossard,Belgium,Left Winger,Arsenal FC,8.0,11.0,2922.0,0.585,0.802
Leon Goretzka,Germany,Central Midfield,Bayern Munich,5.0,5.0,2349.0,0.383,1.409
Leroy Sané,Germany,Right Winger,Galatasaray,7.0,9.0,3371.0,0.427,3.087
Liam Millar,Canada,Left Winger,Hull City,3.0,5.0,2212.0,0.325,0.176
Lisandro Martínez,Argentina,Centre-Back,Manchester United,0.0,0.0,1310.0,0.0,1.77
Luka Modrić,Croatia,Central Midfield,AC Milan,2.0,3.0,2864.0,0.157,3.241
Marcus Rashford,England,Left Winger,FC Barcelona,14.0,14.0,2622.0,0.961,3.309
Marcus Thuram,France,Centre-Forward,Inter Milan,18.0,9.0,2881.0,0.843,2.427
Mario Pašalić,Croatia,Central Midfield,Atalanta BC,10.0,7.0,2771.0,0.552,2.248
Marten de Roon,Netherlands,Defensive Midfield,Atalanta BC,2.0,4.0,3918.0,0.138,1.931
Mathew Leckie,Australia,Left Winger,Melbourne City FC,0.0,1.0,402.0,0.224,4.662
Mehdi Taremi,Iran,Centre-Forward,Olympiacos Piraeus,16.0,6.0,2123.0,0.933,5.761
Mehdi Torabi,Iran,Left Winger,Tractor FC,2.0,5.0,1673.0,0.377,0.385
Memphis Depay,Netherlands,Centre-Forward,Sport Club Corinthians Paulista,1.0,1.0,850.0,0.212,2.275
Milad Mohammadi,Iran,Left-Back,Persepolis FC,0.0,3.0,1567.0,0.172,2.735
Mohammed Muntari,Qatar,Centre-Forward,Al-Gharafa SC,0.0,1.0,474.0,0.19,1.897
Nathan Aké,Netherlands,Centre-Back,Manchester City,0.0,0.0,1644.0,0.0,2.843
Nico Schlotterbeck,Germany,Centre-Back,Borussia Dortmund,5.0,2.0,3290.0,0.191,2.091
Nicolas Jackson,Senegal,Centre-Forward,Bayern Munich,11.0,4.0,1320.0,1.023,1.113
Nikola Vlašić,Croatia,Attacking Midfield,Torino FC,9.0,5.0,3350.0,0.376,2.159
Noa Lang,Netherlands,Left Winger,Galatasaray,3.0,5.0,2051.0,0.351,0.043
Noussair Mazraoui,Morocco,Right-Back,Manchester United,0.0,0.0,984.0,0.0,2.831
Nuno Mendes,Portugal,Left-Back,Paris Saint-Germain,6.0,7.0,2979.0,0.393,1.493
Ousmane Dembélé,France,Centre-Forward,Paris Saint-Germain,20.0,11.0,2200.0,1.268,2.722
Pape Gueye,Senegal,Central Midfield,Villarreal CF,5.0,2.0,2834.0,0.222,1.347
Pape Matar Sarr,Senegal,Central Midfield,Tottenham Hotspur,2.0,4.0,2212.0,0.244,1.162
Ramin Rezaeian,Iran,Right-Back,Foolad FC,2.0,6.0,1331.0,0.541,6.151
Richie Laryea,Canada,Right-Back,Toronto FC,2.0,1.0,810.0,0.333,1.348
Ritsu Doan,Japan,Right Winger,Eintracht Frankfurt,7.0,6.0,3057.0,0.383,3.776
Roozbeh Cheshmi,Iran,Defensive Midfield,Esteghlal FC,3.0,0.0,1495.0,0.181,3.422
Saman Ghoddos,Iran,Attacking Midfield,Kalba FC,5.0,4.0,1973.0,0.411,1.318
Shogo Taniguchi,Japan,Centre-Back,Sint-Truidense VV,1.0,1.0,2955.0,0.061,1.817
Sofyan Amrabat,Morocco,Defensive Midfield,Real Betis Balompié,2.0,0.0,2023.0,0.089,2.7
Tajon Buchanan,Canada,Right Winger,Villarreal CF,7.0,1.0,2331.0,0.309,2.456
Takefusa Kubo,Japan,Right Winger,Real Sociedad,2.0,4.0,1746.0,0.309,1.741
Takehiro Tomiyasu,Japan,Centre-Back,Ajax Amsterdam,0.0,1.0,236.0,0.381,1.431
Teun Koopmeiners,Netherlands,Defensive Midfield,Juventus FC,2.0,1.0,2669.0,0.101,2.461
Thomas Meunier,Belgium,Right-Back,LOSC Lille,2.0,3.0,2549.0,0.177,2.551
Timothy Castagne,Belgium,Right-Back,Fulham FC,0.0,1.0,2362.0,0.038,2.758
Virgil van Dijk,Netherlands,Centre-Back,Liverpool FC,8.0,3.0,4941.0,0.2,2.405
William Saliba,France,Centre-Back,Arsenal FC,1.0,1.0,4254.0,0.042,0.653
Wout Weghorst,Netherlands,Centre-Forward,Ajax Amsterdam,9.0,4.0,2193.0,0.534,3.174
Youri Tielemans,Belgium,Central Midfield,Aston Villa,2.0,7.0,2586.0,0.313,1.437
Yuto Nagatomo,Japan,Left-Back,FC Tokyo,0.0,0.0,501.0,0.0,2.653
