nombre_en,name_en_normalizado,codigo_fifa,grupo,partidos_grupo,pg_grupo,pe_grupo,pp_grupo,gf_grupo,gc_grupo,puntos_grupo,gf_total,gc_total,diferencia_total,ronda_alcanzada,ronda_orden
Mexico,MEXICO,MEX,A,3,3,0,0,6,0,9,10,3,7,Round of 16,2
South Africa,SOUTH AFRICA,RSA,A,3,1,1,1,2,3,4,2,4,-2,Round of 32,1
South Korea,SOUTH KOREA,KOR,A,3,1,0,2,2,3,3,2,3,-1,Fase de grupos,0
Czech Republic,CZECH REPUBLIC,CZE,A,3,0,1,2,2,6,1,2,6,-4,Fase de grupos,0
Canada,CANADA,CAN,B,3,1,1,1,8,3,4,9,6,3,Round of 16,2
Bosnia and Herzegovina,BOSNIA AND HERZEGOVINA,BIH,B,3,1,1,1,5,6,4,5,8,-3,Round of 32,1
Qatar,QATAR,QAT,B,3,0,1,2,2,10,1,2,10,-8,Fase de grupos,0
Switzerland,SWITZERLAND,SUI,B,3,2,1,0,7,3,7,10,6,4,Quarter-final,3
Brazil,BRAZIL,BRA,C,3,2,1,0,7,1,7,10,4,6,Round of 16,2
Morocco,MOROCCO,MAR,C,3,2,1,0,6,3,7,10,6,4,Quarter-final,3
Haiti,HAITI,HAI,C,3,0,0,3,2,8,0,2,8,-6,Fase de grupos,0
Scotland,SCOTLAND,SCO,C,3,1,0,2,1,4,3,1,4,-3,Fase de grupos,0
United States,UNITED STATES,USA,D,3,2,0,1,8,4,6,11,8,3,Round of 16,2
Paraguay,PARAGUAY,PAR,D,3,1,1,1,2,4,4,3,6,-3,Round of 16,2
Australia,AUSTRALIA,AUS,D,3,1,1,1,2,2,4,3,3,0,Round of 32,1
Turkey,TURKEY,TUR,D,3,1,0,2,3,5,3,3,5,-2,Fase de grupos,0
Germany,GERMANY,GER,E,3,2,0,1,10,4,6,11,5,6,Round of 32,1
Curaçao,CURAÇAO,CUW,E,3,0,1,2,1,9,1,1,9,-8,Fase de grupos,0
Ivory Coast,IVORY COAST,CIV,E,3,2,0,1,4,2,6,5,4,1,Round of 32,1
Ecuador,ECUADOR,ECU,E,3,1,1,1,2,2,4,2,4,-2,Round of 32,1
Netherlands,NETHERLANDS,NED,F,3,2,1,0,10,4,7,11,5,6,Round of 32,1
Japan,JAPAN,JPN,F,3,1,2,0,7,3,5,8,5,3,Round of 32,1
Sweden,SWEDEN,SWE,F,3,1,1,1,7,7,4,7,10,-3,Round of 32,1
Tunisia,TUNISIA,TUN,F,3,0,0,3,2,12,0,2,12,-10,Fase de grupos,0
Belgium,BELGIUM,BEL,G,3,1,2,0,6,2,5,14,7,7,Quarter-final,3
Egypt,EGYPT,EGY,G,3,1,2,0,5,3,5,8,7,1,Round of 16,2
Iran,IRAN,IRN,G,3,0,3,0,3,3,3,3,3,0,Fase de grupos,0
New Zealand,NEW ZEALAND,NZL,G,3,0,1,2,4,10,1,4,10,-6,Fase de grupos,0
Spain,SPAIN,ESP,H,3,2,1,0,5,0,7,14,1,13,Campeon,7
Cape Verde,CAPE VERDE,CPV,H,3,0,3,0,2,2,3,4,5,-1,Round of 32,1
Saudi Arabia,SAUDI ARABIA,KSA,H,3,0,2,1,1,5,2,1,5,-4,Fase de grupos,0
Uruguay,URUGUAY,URU,H,3,0,2,1,3,4,2,3,4,-1,Fase de grupos,0
France,FRANCE,FRA,I,3,3,0,0,10,2,9,20,10,10,Match for third place,5
Senegal,SENEGAL,SEN,I,3,1,0,2,8,6,3,10,9,1,Round of 32,1
Iraq,IRAQ,IRQ,I,3,0,0,3,1,12,0,1,12,-11,Fase de grupos,0
Norway,NORWAY,NOR,I,3,2,0,1,8,7,6,13,11,2,Quarter-final,3
Argentina,ARGENTINA,ARG,J,3,3,0,0,8,1,9,19,8,11,Final,6
Algeria,ALGERIA,ALG,J,3,1,1,1,5,7,4,5,9,-4,Round of 32,1
Austria,AUSTRIA,AUT,J,3,1,1,1,6,6,4,6,9,-3,Round of 32,1
Jordan,JORDAN,JOR,J,3,0,0,3,3,8,0,3,8,-5,Fase de grupos,0
Portugal,PORTUGAL,POR,K,3,1,2,0,6,1,5,8,3,5,Round of 16,2
Democratic Republic of the Congo,DEMOCRATIC REPUBLIC OF THE CONGO,COD,K,3,1,1,1,4,3,4,5,5,0,Round of 32,1
Uzbekistan,UZBEKISTAN,UZB,K,3,0,0,3,2,11,0,2,11,-9,Fase de grupos,0
Colombia,COLOMBIA,COL,K,3,2,1,0,4,1,7,5,1,4,Round of 16,2
England,ENGLAND,ENG,L,3,2,1,0,6,2,7,20,12,8,Match for third place,5
Croatia,CROATIA,CRO,L,3,2,0,1,5,5,6,6,7,-1,Round of 32,1
Ghana,GHANA,GHA,L,3,1,1,1,2,2,4,2,3,-1,Round of 32,1
Panama,PANAMA,PAN,L,3,0,0,3,0,4,0,0,4,-4,Fase de grupos,0
